Education Level,Specialization,Skills,Certifications,CGPA/Percentage,Recommended Career
PhD,Data Science,"Power BI, SQL, Excel, Statistics",Google Data Analytics,9.37,Data Analyst
Master's,Data Science,"SQL, Excel, Statistics, Python",Google Data Analytics,9.49,Data Analyst
Master's,Statistics,"Statistics, Excel, Power BI, Python",Google Data Analytics,9.06,Data Analyst
Bachelor's,Statistics,"Python, Power BI, SQL, Excel",Google Data Analytics,8.29,Data Analyst
Bachelor's,Data Science,"Python, Power BI, Excel, SQL",Google Data Analytics,6.73,Data Analyst
Bachelor's,Statistics,"Power BI, Python, SQL, Statistics",Google Data Analytics,8.18,Data Analyst
Master's,Statistics,"Python, Power BI, Statistics, SQL",Google Data Analytics,7.04,Data Analyst
Master's,Data Science,"Excel, SQL, Power BI, Statistics",Google Data Analytics,6.79,Data Analyst
Bachelor's,Statistics,"Python, Excel, Statistics, SQL",Google Data Analytics,7.42,Data Analyst
PhD,Data Science,"Statistics, SQL, Python, Power BI",Google Data Analytics,7.91,Data Analyst
Master's,Data Science,"Excel, Python, Statistics, SQL",Google Data Analytics,7.64,Data Analyst
Bachelor's,Statistics,"Power BI, Python, SQL, Excel",Google Data Analytics,8.06,Data Analyst
Master's,Data Science,"Excel, Power BI, Statistics, SQL",Google Data Analytics,7.46,Data Analyst
Bachelor's,Data Science,"Power BI, Excel, Python, Statistics",Google Data Analytics,9.02,Data Analyst
PhD,Data Science,"Excel, Statistics, Python, SQL",Google Data Analytics,8.95,Data Analyst
Master's,Statistics,"Python, SQL, Statistics, Excel",Google Data Analytics,8.77,Data Analyst
PhD,Data Science,"Power BI, Excel, Python, SQL",Google Data Analytics,7.38,Data Analyst
Master's,Statistics,"Excel, Power BI, Python, SQL",Google Data Analytics,9.14,Data Analyst
PhD,Data Science,"Excel, SQL, Power BI, Python",Google Data Analytics,7.75,Data Analyst
Bachelor's,Data Science,"Power BI, SQL, Statistics, Python",Google Data Analytics,9.33,Data Analyst
PhD,Data Science,"Statistics, Excel, Python, SQL",Google Data Analytics,6.8,Data Analyst
Bachelor's,Data Science,"Statistics, SQL, Power BI, Python",Google Data Analytics,8.52,Data Analyst
Master's,Statistics,"Statistics, Python, Excel, Power BI",Google Data Analytics,8.29,Data Analyst
Master's,Statistics,"SQL, Python, Power BI, Excel",Google Data Analytics,8.31,Data Analyst
Bachelor's,Statistics,"SQL, Statistics, Python, Power BI",Google Data Analytics,6.71,Data Analyst
PhD,Data Science,"Excel, Power BI, SQL, Python",Google Data Analytics,7.29,Data Analyst
PhD,Data Science,"Statistics, Power BI, Python, Excel",Google Data Analytics,7.88,Data Analyst
PhD,Data Science,"Statistics, SQL, Power BI, Python",Google Data Analytics,6.68,Data Analyst
Bachelor's,Statistics,"Python, Power BI, Statistics, SQL",Google Data Analytics,7.8,Data Analyst
Master's,Data Science,"Power BI, Statistics, SQL, Python",Google Data Analytics,8.3,Data Analyst
Master's,Statistics,"Statistics, Python, Power BI, Excel",Google Data Analytics,6.84,Data Analyst
PhD,Data Science,"Statistics, Power BI, Excel, Python",Google Data Analytics,7.95,Data Analyst
Bachelor's,Statistics,"Excel, Statistics, Power BI, Python",Google Data Analytics,7.82,Data Analyst
PhD,Data Science,"Power BI, SQL, Excel, Python",Google Data Analytics,6.84,Data Analyst
PhD,Statistics,"Statistics, Power BI, Excel, Python",Google Data Analytics,9.47,Data Analyst
Bachelor's,Data Science,"Python, SQL, Power BI, Statistics",Google Data Analytics,8.59,Data Analyst
Master's,Data Science,"Excel, Python, Statistics, SQL",Google Data Analytics,9.68,Data Analyst
Bachelor's,Statistics,"Excel, Power BI, SQL, Python",Google Data Analytics,9.19,Data Analyst
PhD,Statistics,"Power BI, Statistics, Excel, Python",Google Data Analytics,9.34,Data Analyst
Master's,Statistics,"Power BI, Python, Excel, Statistics",Google Data Analytics,8.3,Data Analyst
PhD,Statistics,"Power BI, Python, Statistics, Excel",Google Data Analytics,7.55,Data Analyst
PhD,Statistics,"Python, Power BI, Statistics, SQL",Google Data Analytics,7.01,Data Analyst
Bachelor's,Data Science,"Statistics, Excel, Python, Power BI",Google Data Analytics,6.5,Data Analyst
Master's,Data Science,"Statistics, SQL, Power BI, Python",Google Data Analytics,8.22,Data Analyst
Master's,Statistics,"SQL, Excel, Power BI, Statistics",Google Data Analytics,7.74,Data Analyst
Master's,Statistics,"SQL, Statistics, Excel, Power BI",Google Data Analytics,8.94,Data Analyst
PhD,Data Science,"Statistics, Excel, Python, SQL",Google Data Analytics,7.48,Data Analyst
Bachelor's,Statistics,"SQL, Excel, Power BI, Python",Google Data Analytics,9.53,Data Analyst
Bachelor's,Statistics,"Statistics, Excel, Python, SQL",Google Data Analytics,7.81,Data Analyst
Master's,Data Science,"SQL, Excel, Python, Statistics",Google Data Analytics,8.36,Data Analyst
Bachelor's,Statistics,"Python, SQL, Power BI, Statistics",Google Data Analytics,9.31,Data Analyst
Bachelor's,Statistics,"Excel, SQL, Statistics, Power BI",Google Data Analytics,6.81,Data Analyst
Master's,Data Science,"SQL, Python, Excel, Statistics",Google Data Analytics,9.56,Data Analyst
Bachelor's,Data Science,"Excel, Power BI, Statistics, SQL",Google Data Analytics,9.2,Data Analyst
PhD,Statistics,"SQL, Python, Excel, Power BI",Google Data Analytics,8.93,Data Analyst
PhD,Data Science,"Python, SQL, Power BI, Statistics",Google Data Analytics,7.66,Data Analyst
Bachelor's,Data Science,"SQL, Excel, Statistics, Power BI",Google Data Analytics,8.43,Data Analyst
Bachelor's,Data Science,"Excel, SQL, Python, Statistics",Google Data Analytics,8.56,Data Analyst
PhD,Data Science,"Excel, Statistics, Python, SQL",Google Data Analytics,9.68,Data Analyst
Bachelor's,Data Science,"Statistics, Python, Power BI, SQL",Google Data Analytics,7.01,Data Analyst
Master's,Statistics,"Python, Statistics, Power BI, Excel",Google Data Analytics,9.34,Data Analyst
Bachelor's,Statistics,"SQL, Python, Power BI, Statistics",Google Data Analytics,8.32,Data Analyst
Bachelor's,Statistics,"Statistics, Excel, SQL, Python",Google Data Analytics,6.7,Data Analyst
Bachelor's,Data Science,"SQL, Excel, Power BI, Statistics",Google Data Analytics,6.9,Data Analyst
Bachelor's,Data Science,"Python, Power BI, Statistics, Excel",Google Data Analytics,8.11,Data Analyst
Bachelor's,Statistics,"Power BI, Excel, SQL, Python",Google Data Analytics,6.67,Data Analyst
PhD,Statistics,"Excel, SQL, Python, Statistics",Google Data Analytics,6.89,Data Analyst
Bachelor's,Data Science,"Excel, Python, Statistics, SQL",Google Data Analytics,6.89,Data Analyst
PhD,Statistics,"Statistics, Power BI, Python, SQL",Google Data Analytics,9.3,Data Analyst
Bachelor's,Data Science,"SQL, Python, Statistics, Excel",Google Data Analytics,7.73,Data Analyst
PhD,Data Science,"Power BI, Excel, SQL, Statistics",Google Data Analytics,7.42,Data Analyst
PhD,Statistics,"Statistics, SQL, Excel, Power BI",Google Data Analytics,6.71,Data Analyst
PhD,Statistics,"Excel, Power BI, Python, Statistics",Google Data Analytics,9.52,Data Analyst
Bachelor's,Data Science,"Python, Excel, SQL, Power BI",Google Data Analytics,7.88,Data Analyst
Bachelor's,Statistics,"Python, Excel, Statistics, Power BI",Google Data Analytics,8.15,Data Analyst
Bachelor's,Statistics,"Statistics, Python, Excel, Power BI",Google Data Analytics,9.06,Data Analyst
PhD,Data Science,"Power BI, Python, SQL, Excel",Google Data Analytics,8.05,Data Analyst
PhD,Statistics,"Python, Power BI, Statistics, SQL",Google Data Analytics,7.5,Data Analyst
Bachelor's,Data Science,"SQL, Power BI, Python, Statistics",Google Data Analytics,7.18,Data Analyst
Master's,Data Science,"SQL, Excel, Statistics, Power BI",Google Data Analytics,8.88,Data Analyst
Bachelor's,Statistics,"Excel, Power BI, SQL, Python",Google Data Analytics,7.31,Data Analyst
PhD,Statistics,"SQL, Statistics, Power BI, Python",Google Data Analytics,7.05,Data Analyst
PhD,Statistics,"SQL, Python, Power BI, Statistics",Google Data Analytics,7.44,Data Analyst
Master's,Data Science,"Statistics, Python, SQL, Excel",Google Data Analytics,9.54,Data Analyst
PhD,Statistics,"Python, SQL, Power BI, Excel",Google Data Analytics,7.52,Data Analyst
PhD,Statistics,"SQL, Statistics, Python, Power BI",Google Data Analytics,7.71,Data Analyst
PhD,Statistics,"Power BI, Excel, SQL, Statistics",Google Data Analytics,7.93,Data Analyst
Master's,Statistics,"Excel, Python, Statistics, SQL",Google Data Analytics,6.54,Data Analyst
PhD,Statistics,"SQL, Statistics, Python, Power BI",Google Data Analytics,8.38,Data Analyst
Bachelor's,Data Science,"Power BI, SQL, Python, Statistics",Google Data Analytics,7.24,Data Analyst
Master's,Data Science,"Python, Statistics, SQL, Excel",Google Data Analytics,8.49,Data Analyst
PhD,Statistics,"Power BI, Excel, Python, SQL",Google Data Analytics,8.63,Data Analyst
Master's,Statistics,"Statistics, Python, Excel, SQL",Google Data Analytics,7.35,Data Analyst
PhD,Statistics,"Excel, Statistics, Power BI, Python",Google Data Analytics,6.91,Data Analyst
PhD,Statistics,"Power BI, Statistics, Excel, SQL",Google Data Analytics,8.9,Data Analyst
Bachelor's,Data Science,"Statistics, Python, Excel, Power BI",Google Data Analytics,6.71,Data Analyst
PhD,Statistics,"SQL, Power BI, Statistics, Excel",Google Data Analytics,8.34,Data Analyst
Bachelor's,Statistics,"Python, SQL, Power BI, Excel",Google Data Analytics,9.18,Data Analyst
PhD,Statistics,"SQL, Excel, Power BI, Python",Google Data Analytics,7.52,Data Analyst
Master's,Data Science,"Statistics, Excel, Power BI, Python",Google Data Analytics,9.05,Data Analyst
Bachelor's,Data Science,"Excel, Python, Power BI, Statistics",Google Data Analytics,7.76,Data Analyst
PhD,Data Science,"Python, Power BI, Excel, Statistics",Google Data Analytics,9.14,Data Analyst
Bachelor's,Statistics,"Excel, Power BI, Statistics, Python",Google Data Analytics,9.11,Data Analyst
PhD,Statistics,"Python, Excel, Statistics, Power BI",Google Data Analytics,8.19,Data Analyst
PhD,Statistics,"Power BI, Excel, SQL, Statistics",Google Data Analytics,8.41,Data Analyst
Bachelor's,Statistics,"Power BI, Python, Excel, SQL",Google Data Analytics,6.75,Data Analyst
PhD,Data Science,"SQL, Python, Power BI, Statistics",Google Data Analytics,7.46,Data Analyst
Master's,Data Science,"Excel, Statistics, Power BI, SQL",Google Data Analytics,6.63,Data Analyst
Master's,Data Science,"Statistics, SQL, Excel, Power BI",Google Data Analytics,6.77,Data Analyst
Bachelor's,Statistics,"Statistics, SQL, Power BI, Excel",Google Data Analytics,8.22,Data Analyst
PhD,Data Science,"Statistics, SQL, Power BI, Excel",Google Data Analytics,8.0,Data Analyst
Master's,Data Science,"SQL, Power BI, Excel, Python",Google Data Analytics,8.45,Data Analyst
PhD,Statistics,"Statistics, Power BI, SQL, Excel",Google Data Analytics,7.36,Data Analyst
PhD,Data Science,"Python, Excel, Power BI, SQL",Google Data Analytics,8.06,Data Analyst
PhD,Data Science,"SQL, Statistics, Python, Excel",Google Data Analytics,8.79,Data Analyst
Bachelor's,Data Science,"SQL, Excel, Power BI, Python",Google Data Analytics,6.68,Data Analyst
Bachelor's,Data Science,"Statistics, Excel, SQL, Power BI",Google Data Analytics,9.13,Data Analyst
Bachelor's,Statistics,"Power BI, SQL, Excel, Statistics",Google Data Analytics,6.56,Data Analyst
Bachelor's,Data Science,"Excel, Power BI, Python, Statistics",Google Data Analytics,8.96,Data Analyst
PhD,Data Science,"Excel, SQL, Power BI, Python",Google Data Analytics,7.29,Data Analyst
Master's,Data Science,"Power BI, Excel, SQL, Python",Google Data Analytics,9.68,Data Analyst
PhD,Data Science,"Excel, Python, SQL, Power BI",Google Data Analytics,9.7,Data Analyst
Master's,Data Science,"Excel, Statistics, SQL, Power BI",Google Data Analytics,8.42,Data Analyst
PhD,Data Science,"Python, Excel, Statistics, SQL",Google Data Analytics,6.74,Data Analyst
Bachelor's,Data Science,"Excel, Python, SQL, Statistics",Google Data Analytics,9.42,Data Analyst
PhD,Statistics,"Power BI, Python, Excel, Statistics",Google Data Analytics,8.17,Data Analyst
Bachelor's,Statistics,"Power BI, Statistics, Excel, SQL",Google Data Analytics,8.67,Data Analyst
Bachelor's,Statistics,"Statistics, Python, SQL, Excel",Google Data Analytics,7.37,Data Analyst
Bachelor's,Data Science,"Excel, SQL, Statistics, Python",Google Data Analytics,6.66,Data Analyst
Bachelor's,Statistics,"SQL, Excel, Statistics, Power BI",Google Data Analytics,9.13,Data Analyst
PhD,Statistics,"Power BI, Statistics, SQL, Python",Google Data Analytics,8.69,Data Analyst
Master's,Statistics,"Statistics, Excel, Python, Power BI",Google Data Analytics,8.94,Data Analyst
PhD,Data Science,"Statistics, Excel, Python, SQL",Google Data Analytics,8.17,Data Analyst
Bachelor's,Data Science,"Python, Statistics, Excel, SQL",Google Data Analytics,7.97,Data Analyst
Bachelor's,Statistics,"Python, Statistics, SQL, Power BI",Google Data Analytics,8.04,Data Analyst
PhD,Statistics,"Power BI, Statistics, SQL, Python",Google Data Analytics,7.59,Data Analyst
PhD,Data Science,"Excel, Power BI, Python, SQL",Google Data Analytics,9.12,Data Analyst
PhD,Data Science,"SQL, Excel, Python, Power BI",Google Data Analytics,8.64,Data Analyst
Bachelor's,Statistics,"Power BI, Statistics, Python, Excel",Google Data Analytics,8.98,Data Analyst
Bachelor's,Statistics,"Excel, Statistics, Python, Power BI",Google Data Analytics,8.88,Data Analyst
Master's,Data Science,"Python, SQL, Excel, Power BI",Google Data Analytics,8.87,Data Analyst
Bachelor's,Statistics,"Excel, Python, Power BI, SQL",Google Data Analytics,9.67,Data Analyst
Bachelor's,Statistics,"Excel, SQL, Power BI, Statistics",Google Data Analytics,7.17,Data Analyst
PhD,Data Science,"SQL, Statistics, Power BI, Excel",Google Data Analytics,9.68,Data Analyst
Master's,Data Science,"Statistics, Excel, SQL, Python",Google Data Analytics,8.97,Data Analyst
PhD,Statistics,"Power BI, Statistics, Excel, Python",Google Data Analytics,9.05,Data Analyst
Master's,Data Science,"Power BI, Python, Excel, SQL",Google Data Analytics,8.28,Data Analyst
PhD,Data Science,"Excel, Python, Statistics, SQL",Google Data Analytics,7.64,Data Analyst
Master's,Data Science,"SQL, Excel, Python, Power BI",Google Data Analytics,8.73,Data Analyst
Master's,Data Science,"Statistics, Power BI, Excel, Python",Google Data Analytics,9.74,Data Analyst
Bachelor's,Statistics,"Excel, Python, Statistics, Power BI",Google Data Analytics,8.37,Data Analyst
Master's,Statistics,"SQL, Statistics, Excel, Python",Google Data Analytics,7.84,Data Analyst
PhD,Statistics,"Power BI, Statistics, Excel, SQL",Google Data Analytics,9.41,Data Analyst
Master's,Data Science,"Python, SQL, Power BI, Excel",Google Data Analytics,7.82,Data Analyst
Bachelor's,Statistics,"Power BI, SQL, Python, Excel",Google Data Analytics,8.8,Data Analyst
Master's,Statistics,"SQL, Excel, Statistics, Power BI",Google Data Analytics,7.24,Data Analyst
Bachelor's,Data Science,"Power BI, Python, Excel, Statistics",Google Data Analytics,7.16,Data Analyst
Bachelor's,Statistics,"SQL, Excel, Power BI, Python",Google Data Analytics,8.21,Data Analyst
Master's,Statistics,"Power BI, SQL, Excel, Python",Google Data Analytics,7.89,Data Analyst
Bachelor's,Statistics,"Power BI, SQL, Excel, Statistics",Google Data Analytics,7.19,Data Analyst
Bachelor's,Statistics,"Excel, Power BI, Python, Statistics",Google Data Analytics,6.74,Data Analyst
Master's,Statistics,"Excel, Statistics, Power BI, Python",Google Data Analytics,8.36,Data Analyst
Bachelor's,Data Science,"Power BI, SQL, Excel, Python",Google Data Analytics,9.35,Data Analyst
PhD,Statistics,"Python, Power BI, Statistics, SQL",Google Data Analytics,7.77,Data Analyst
PhD,Data Science,"Power BI, Excel, SQL, Statistics",Google Data Analytics,6.83,Data Analyst
Bachelor's,Statistics,"Python, SQL, Statistics, Excel",Google Data Analytics,8.74,Data Analyst
PhD,Data Science,"SQL, Power BI, Statistics, Python",Google Data Analytics,6.68,Data Analyst
Bachelor's,Data Science,"SQL, Python, Excel, Statistics",Google Data Analytics,6.56,Data Analyst
Bachelor's,Statistics,"Excel, SQL, Power BI, Statistics",Google Data Analytics,8.76,Data Analyst
PhD,Data Science,"Statistics, SQL, Power BI, Excel",Google Data Analytics,9.13,Data Analyst
Master's,Statistics,"Python, Statistics, Excel, SQL",Google Data Analytics,9.77,Data Analyst
Master's,Statistics,"Excel, Power BI, Statistics, SQL",Google Data Analytics,9.25,Data Analyst
Master's,Data Science,"Statistics, Python, Excel, Power BI",Google Data Analytics,6.64,Data Analyst
PhD,Data Science,"SQL, Python, Statistics, Power BI",Google Data Analytics,6.89,Data Analyst
PhD,Data Science,"Statistics, Power BI, SQL, Excel",Google Data Analytics,9.12,Data Analyst
Master's,Data Science,"Statistics, SQL, Excel, Power BI",Google Data Analytics,9.47,Data Analyst
PhD,Statistics,"Excel, Statistics, Python, SQL",Google Data Analytics,9.31,Data Analyst
PhD,Data Science,"Statistics, Python, Excel, SQL",Google Data Analytics,7.64,Data Analyst
Bachelor's,Statistics,"Power BI, Excel, SQL, Python",Google Data Analytics,9.6,Data Analyst
Master's,Data Science,"Statistics, SQL, Excel, Power BI",Google Data Analytics,8.93,Data Analyst
Master's,Statistics,"SQL, Python, Power BI, Statistics",Google Data Analytics,6.93,Data Analyst
PhD,Data Science,"Excel, Python, SQL, Power BI",Google Data Analytics,7.32,Data Analyst
Master's,Data Science,"Excel, Statistics, SQL, Python",Google Data Analytics,6.86,Data Analyst
Master's,Management,"Excel, Power BI, Communication, SQL",Google Data Analytics,7.96,Business Analyst
Bachelor's,Management,"SQL, Excel, Power BI, Communication",Google Data Analytics,6.89,Business Analyst
PhD,Business Analytics,"SQL, Excel, Power BI, Communication",Google Data Analytics,8.87,Business Analyst
Bachelor's,Business Analytics,"SQL, Excel, Communication, Power BI",Google Data Analytics,6.93,Business Analyst
Master's,Management,"Excel, SQL, Power BI, Communication",Google Data Analytics,9.08,Business Analyst
PhD,Business Analytics,"Excel, Communication, SQL, Power BI",Google Data Analytics,9.68,Business Analyst
Master's,Management,"Excel, SQL, Power BI, Communication",Google Data Analytics,8.15,Business Analyst
PhD,Business Analytics,"Power BI, SQL, Excel, Communication",Google Data Analytics,9.53,Business Analyst
Master's,Business Analytics,"Excel, Communication, SQL, Power BI",Google Data Analytics,8.93,Business Analyst
PhD,Management,"SQL, Excel, Power BI, Communication",Google Data Analytics,8.84,Business Analyst
PhD,Business Analytics,"Communication, Excel, Power BI, SQL",Google Data Analytics,7.45,Business Analyst
Master's,Management,"Excel, Communication, SQL, Power BI",Google Data Analytics,6.5,Business Analyst
PhD,Management,"Power BI, Communication, Excel, SQL",Google Data Analytics,9.29,Business Analyst
Bachelor's,Management,"Communication, SQL, Excel, Power BI",Google Data Analytics,8.39,Business Analyst
PhD,Business Analytics,"Power BI, SQL, Communication, Excel",Google Data Analytics,9.56,Business Analyst
PhD,Management,"Power BI, SQL, Excel, Communication",Google Data Analytics,6.95,Business Analyst
PhD,Business Analytics,"Communication, SQL, Excel, Power BI",Google Data Analytics,7.85,Business Analyst
Bachelor's,Management,"Excel, Communication, SQL, Power BI",Google Data Analytics,6.51,Business Analyst
Bachelor's,Business Analytics,"SQL, Power BI, Excel, Communication",Google Data Analytics,9.46,Business Analyst
PhD,Business Analytics,"Power BI, SQL, Communication, Excel",Google Data Analytics,8.15,Business Analyst
Master's,Business Analytics,"SQL, Power BI, Excel, Communication",Google Data Analytics,6.84,Business Analyst
PhD,Management,"Communication, Power BI, Excel, SQL",Google Data Analytics,8.48,Business Analyst
Master's,Business Analytics,"SQL, Communication, Power BI, Excel",Google Data Analytics,6.99,Business Analyst
Master's,Management,"Excel, Power BI, SQL, Communication",Google Data Analytics,9.62,Business Analyst
PhD,Business Analytics,"Communication, Excel, Power BI, SQL",Google Data Analytics,7.44,Business Analyst
Master's,Business Analytics,"Communication, Excel, SQL, Power BI",Google Data Analytics,8.89,Business Analyst
Bachelor's,Management,"Power BI, Communication, Excel, SQL",Google Data Analytics,8.9,Business Analyst
PhD,Business Analytics,"Excel, Power BI, Communication, SQL",Google Data Analytics,8.75,Business Analyst
PhD,Management,"Power BI, Communication, Excel, SQL",Google Data Analytics,6.87,Business Analyst
PhD,Management,"Power BI, Communication, SQL, Excel",Google Data Analytics,9.11,Business Analyst
Master's,Business Analytics,"Communication, Excel, Power BI, SQL",Google Data Analytics,7.13,Business Analyst
Bachelor's,Business Analytics,"Excel, Power BI, SQL, Communication",Google Data Analytics,9.69,Business Analyst
PhD,Management,"Communication, Excel, SQL, Power BI",Google Data Analytics,7.53,Business Analyst
Bachelor's,Business Analytics,"Communication, Excel, SQL, Power BI",Google Data Analytics,7.09,Business Analyst
Master's,Business Analytics,"Power BI, Communication, Excel, SQL",Google Data Analytics,9.76,Business Analyst
PhD,Management,"Excel, SQL, Power BI, Communication",Google Data Analytics,8.33,Business Analyst
PhD,Business Analytics,"SQL, Communication, Power BI, Excel",Google Data Analytics,7.81,Business Analyst
PhD,Management,"Power BI, Excel, SQL, Communication",Google Data Analytics,8.82,Business Analyst
PhD,Management,"Power BI, Communication, SQL, Excel",Google Data Analytics,7.35,Business Analyst
PhD,Management,"Power BI, Excel, SQL, Communication",Google Data Analytics,7.7,Business Analyst
PhD,Management,"SQL, Excel, Power BI, Communication",Google Data Analytics,6.82,Business Analyst
Master's,Business Analytics,"Excel, Power BI, SQL, Communication",Google Data Analytics,8.2,Business Analyst
PhD,Management,"Power BI, Communication, Excel, SQL",Google Data Analytics,7.01,Business Analyst
Bachelor's,Management,"SQL, Excel, Power BI, Communication",Google Data Analytics,9.06,Business Analyst
PhD,Management,"Excel, Communication, SQL, Power BI",Google Data Analytics,9.57,Business Analyst
Master's,Business Analytics,"Excel, Communication, Power BI, SQL",Google Data Analytics,8.08,Business Analyst
PhD,Management,"Communication, Power BI, Excel, SQL",Google Data Analytics,6.52,Business Analyst
PhD,Management,"SQL, Power BI, Excel, Communication",Google Data Analytics,8.76,Business Analyst
PhD,Management,"SQL, Power BI, Communication, Excel",Google Data Analytics,7.79,Business Analyst
PhD,Management,"Communication, Excel, SQL, Power BI",Google Data Analytics,9.38,Business Analyst
PhD,Business Analytics,"Communication, Excel, Power BI, SQL",Google Data Analytics,7.7,Business Analyst
Bachelor's,Management,"Excel, SQL, Power BI, Communication",Google Data Analytics,8.51,Business Analyst
PhD,Business Analytics,"Communication, Excel, SQL, Power BI",Google Data Analytics,7.6,Business Analyst
Bachelor's,Business Analytics,"SQL, Excel, Power BI, Communication",Google Data Analytics,9.37,Business Analyst
Master's,Business Analytics,"Communication, Power BI, Excel, SQL",Google Data Analytics,8.06,Business Analyst
PhD,Management,"SQL, Communication, Power BI, Excel",Google Data Analytics,6.7,Business Analyst
Master's,Business Analytics,"Power BI, Excel, SQL, Communication",Google Data Analytics,6.69,Business Analyst
PhD,Business Analytics,"Power BI, Communication, Excel, SQL",Google Data Analytics,8.3,Business Analyst
PhD,Business Analytics,"Power BI, Communication, SQL, Excel",Google Data Analytics,8.14,Business Analyst
Bachelor's,Business Analytics,"Excel, SQL, Power BI, Communication",Google Data Analytics,7.63,Business Analyst
Master's,Business Analytics,"SQL, Communication, Power BI, Excel",Google Data Analytics,9.34,Business Analyst
Master's,Business Analytics,"Communication, Power BI, SQL, Excel",Google Data Analytics,8.4,Business Analyst
Bachelor's,Business Analytics,"SQL, Power BI, Communication, Excel",Google Data Analytics,6.67,Business Analyst
Master's,Management,"SQL, Power BI, Excel, Communication",Google Data Analytics,9.47,Business Analyst
PhD,Business Analytics,"Excel, SQL, Communication, Power BI",Google Data Analytics,7.74,Business Analyst
Master's,Management,"Communication, Excel, SQL, Power BI",Google Data Analytics,7.05,Business Analyst
PhD,Business Analytics,"Power BI, Communication, SQL, Excel",Google Data Analytics,8.04,Business Analyst
PhD,Business Analytics,"Communication, Power BI, SQL, Excel",Google Data Analytics,6.72,Business Analyst
PhD,Business Analytics,"Power BI, Communication, Excel, SQL",Google Data Analytics,9.65,Business Analyst
Bachelor's,Business Analytics,"Power BI, Communication, Excel, SQL",Google Data Analytics,9.76,Business Analyst
Bachelor's,Management,"Communication, Excel, Power BI, SQL",Google Data Analytics,8.16,Business Analyst
Bachelor's,Business Analytics,"Power BI, Excel, Communication, SQL",Google Data Analytics,8.98,Business Analyst
PhD,Business Analytics,"Communication, Excel, SQL, Power BI",Google Data Analytics,9.77,Business Analyst
Bachelor's,Management,"SQL, Excel, Power BI, Communication",Google Data Analytics,8.76,Business Analyst
PhD,Management,"Excel, Power BI, Communication, SQL",Google Data Analytics,7.87,Business Analyst
Master's,Business Analytics,"Power BI, Excel, Communication, SQL",Google Data Analytics,8.47,Business Analyst
Master's,Management,"SQL, Communication, Excel, Power BI",Google Data Analytics,7.84,Business Analyst
Bachelor's,Management,"Communication, SQL, Power BI, Excel",Google Data Analytics,9.63,Business Analyst
Bachelor's,Management,"Power BI, Communication, SQL, Excel",Google Data Analytics,9.36,Business Analyst
Master's,Business Analytics,"Power BI, Excel, Communication, SQL",Google Data Analytics,9.62,Business Analyst
Master's,Business Analytics,"Excel, SQL, Communication, Power BI",Google Data Analytics,9.0,Business Analyst
PhD,Business Analytics,"Communication, Excel, SQL, Power BI",Google Data Analytics,6.54,Business Analyst
PhD,Business Analytics,"Excel, Power BI, SQL, Communication",Google Data Analytics,8.81,Business Analyst
Bachelor's,Business Analytics,"Communication, Excel, Power BI, SQL",Google Data Analytics,9.13,Business Analyst
Bachelor's,Management,"Excel, Power BI, Communication, SQL",Google Data Analytics,8.9,Business Analyst
Master's,Business Analytics,"Power BI, SQL, Communication, Excel",Google Data Analytics,7.26,Business Analyst
Bachelor's,Management,"Excel, Power BI, Communication, SQL",Google Data Analytics,8.78,Business Analyst
PhD,Management,"SQL, Power BI, Communication, Excel",Google Data Analytics,8.92,Business Analyst
PhD,Business Analytics,"Excel, Power BI, SQL, Communication",Google Data Analytics,8.58,Business Analyst
Bachelor's,Business Analytics,"Power BI, Communication, SQL, Excel",Google Data Analytics,8.3,Business Analyst
PhD,Business Analytics,"Power BI, SQL, Communication, Excel",Google Data Analytics,8.72,Business Analyst
Bachelor's,Management,"Communication, Power BI, Excel, SQL",Google Data Analytics,9.09,Business Analyst
Bachelor's,Management,"Power BI, SQL, Excel, Communication",Google Data Analytics,9.67,Business Analyst
Bachelor's,Business Analytics,"Excel, Power BI, SQL, Communication",Google Data Analytics,8.69,Business Analyst
Master's,Management,"Communication, Power BI, SQL, Excel",Google Data Analytics,9.19,Business Analyst
Bachelor's,Business Analytics,"Power BI, Communication, Excel, SQL",Google Data Analytics,7.61,Business Analyst
PhD,Management,"SQL, Power BI, Communication, Excel",Google Data Analytics,9.15,Business Analyst
Bachelor's,Management,"Excel, Communication, Power BI, SQL",Google Data Analytics,9.06,Business Analyst
PhD,Business Analytics,"SQL, Communication, Excel, Power BI",Google Data Analytics,9.68,Business Analyst
PhD,Business Analytics,"Communication, Power BI, SQL, Excel",Google Data Analytics,8.27,Business Analyst
Bachelor's,Management,"SQL, Power BI, Communication, Excel",Google Data Analytics,7.39,Business Analyst
PhD,Management,"Excel, Communication, Power BI, SQL",Google Data Analytics,9.15,Business Analyst
Master's,Business Analytics,"Excel, Communication, Power BI, SQL",Google Data Analytics,8.46,Business Analyst
PhD,Business Analytics,"Excel, Power BI, Communication, SQL",Google Data Analytics,9.59,Business Analyst
Bachelor's,Management,"Excel, Power BI, SQL, Communication",Google Data Analytics,9.07,Business Analyst
Master's,Management,"Power BI, Communication, SQL, Excel",Google Data Analytics,8.22,Business Analyst
PhD,Business Analytics,"Power BI, Communication, Excel, SQL",Google Data Analytics,9.04,Business Analyst
Bachelor's,Business Analytics,"Excel, Power BI, SQL, Communication",Google Data Analytics,8.37,Business Analyst
